time,energy,event_type,wattmin,epower
36900,3.77068e+08,s,90900,16740
36900,3.77068e+08,s,90900,16820
36900,3.77068e+08,s,90900,16900
36900,3.77068e+08,s,90900,16980
36900,3.77068e+08,s,90900,17060
36900,3.77068e+08,s,90900,17140
36900,3.77068e+08,s,90900,17220
36900,3.77068e+08,s,90900,17300
36900,3.77068e+08,s,90900,17380
36900,3.77068e+08,s,90900,17460
36900,3.77068e+08,s,90900,17540
36900,3.77068e+08,s,90900,17620
36900,3.77068e+08,s,90900,17700
36900,3.77068e+08,s,90900,17780
36900,3.77068e+08,s,90900,17860
36900,3.77068e+08,s,90900,17940
36900,3.77068e+08,s,90900,18020
36900,3.77068e+08,s,90900,18100
36900,3.77068e+08,s,90900,18180
36900,3.77068e+08,s,90900,18260
36900,3.77068e+08,s,90900,18340
36900,3.77068e+08,s,90900,18420
36900,3.77068e+08,s,90900,18500
36900,3.77068e+08,s,90900,18580
36900,3.77068e+08,s,90900,18660
36900,3.77068e+08,s,90900,18740
36900,3.77068e+08,s,90900,18820
36900,3.77068e+08,s,90900,18900
36900,3.77068e+08,s,90900,18980
36900,3.77068e+08,s,90900,19060
36900,3.77068e+08,s,90900,19140
36900,3.77068e+08,s,90900,19220
36900,3.77068e+08,s,90900,19300
36900,3.77068e+08,s,90900,19380
36900,3.77068e+08,s,90900,19460
36900,3.77068e+08,s,90900,19540
36900,3.77068e+08,s,90900,19620
36900,3.77068e+08,s,90900,19700
36900,3.77068e+08,s,90900,19780
36900,3.77068e+08,s,90900,19860
36900,3.77068e+08,s,90900,19940
36900,3.77068e+08,s,90900,20020
36900,3.77068e+08,s,90900,20100
36900,3.77068e+08,s,90900,20180
36900,3.77068e+08,s,90900,20260
36900,3.77068e+08,s,90900,20340
36900,3.77068e+08,s,90900,20420
36900,3.77068e+08,s,90900,20500
36900,3.77068e+08,s,90900,20580
36900,3.77068e+08,s,90900,20660
36900,3.77068e+08,s,90900,20740
36900,3.77068e+08,s,90900,20820
36900,3.77068e+08,s,90900,20900
36900,3.77068e+08,s,90900,20980
36900,3.77068e+08,s,90900,21060
36900,3.77068e+08,s,90900,21140
36900,3.77068e+08,s,90900,21220
36900,3.77068e+08,s,90900,21300
36900,3.77068e+08,s,90900,21380
36900,3.77068e+08,s,90900,21460
36900,3.77068e+08,s,90900,21540
36900,3.77068e+08,s,90900,21620
36900,3.77068e+08,s,90900,21700
36900,3.77068e+08,s,90900,21780
36900,3.77068e+08,s,90900,21860
36900,3.77068e+08,s,90900,21940
36900,3.77068e+08,s,90900,22020
36900,3.77068e+08,s,90900,22100
36900,3.77068e+08,s,90900,22180
36900,3.77068e+08,s,90900,22260
36900,3.77068e+08,s,90900,22340
36900,3.77068e+08,s,90900,22420
36900,3.77068e+08,s,90900,22500
36900,3.77068e+08,s,90900,22580
36900,3.77068e+08,s,90900,22660
36900,3.77068e+08,s,90900,22740
36900,3.77068e+08,s,90900,22820
36900,3.77068e+08,s,90900,22900
36900,3.77068e+08,s,90900,22980
36900,3.77068e+08,s,90900,23060
36900,3.77068e+08,s,90900,23140
36900,3.77068e+08,s,90900,23220
36900,3.77068e+08,s,90900,23300
36921,3.77559e+08,e,90900,23380
36931,3.77792e+08,e,90900,23300
36931.7,3.77807e+08,e,90900,23220
36932,3.77815e+08,e,90900,23140
36941.7,3.78038e+08,e,90900,23060
36948.3,3.78191e+08,e,90900,22980
37038.3,3.80252e+08,e,90900,22900
37041.7,3.80328e+08,e,90900,22820
37053.7,3.80601e+08,e,90900,22740
37054.3,3.80616e+08,e,90900,22660
37055,3.80631e+08,e,90900,22580
37068.3,3.80931e+08,e,90900,22500
37069.7,3.80961e+08,e,90900,22420
37071,3.80991e+08,e,90900,22340
37076,3.81102e+08,e,90900,22260
37082.7,3.8125e+08,e,90900,22180
37085.3,3.81309e+08,e,90900,22100
37087,3.81346e+08,e,90900,22020
37090.3,3.81419e+08,e,90900,21940
37121,3.82089e+08,e,90900,21860
37127,3.8222e+08,e,90900,21780
37129.7,3.82278e+08,e,90900,21700
37130.3,3.82292e+08,e,90900,21620
37133,3.8235e+08,e,90900,21540
37451.3,3.89181e+08,e,90900,21460
37642,3.93257e+08,e,90900,21380
37680.7,3.94081e+08,e,90900,21300
37701.7,3.94527e+08,e,90900,21220
37765.7,3.9588e+08,e,90900,21140
37766,3.95887e+08,e,90900,21060
37788,3.96348e+08,e,90900,20980
37789.3,3.96376e+08,e,90900,20900
37802.7,3.96654e+08,e,90900,20820
37805,3.96702e+08,e,90900,20740
37806.7,3.96736e+08,e,90900,20660
37815,3.96908e+08,e,90900,20580
37833.7,3.97291e+08,e,90900,20500
37859,3.97808e+08,e,90900,20420
37886,3.98357e+08,e,90900,20340
37891,3.98458e+08,e,90900,20260
37896.3,3.98566e+08,e,90900,20180
37897.3,3.98586e+08,e,90900,20100
37903.7,3.98713e+08,e,90900,20020
37904,3.9872e+08,e,90900,19940
37911,3.98859e+08,e,90900,19860
37918.7,3.9901e+08,e,90900,19780
37921.3,3.99063e+08,e,90900,19700
37929,3.99213e+08,e,90900,19620
37930.7,3.99246e+08,e,90900,19540
37937,3.99369e+08,e,90900,19460
37940.7,3.9944e+08,e,90900,19380
37942,3.99466e+08,e,90900,19300
37944,3.99504e+08,e,90900,19220
37944.3,3.99511e+08,e,90900,19140
37949.7,3.99612e+08,e,90900,19060
37950.7,3.99631e+08,e,90900,18980
37951.7,3.9965e+08,e,90900,18900
37952,3.99656e+08,e,90900,18820
37952,3.99656e+08,e,90900,18740
37952.3,3.99663e+08,e,90900,18660
37953.7,3.99687e+08,e,90900,18580
37964.3,3.99885e+08,e,90900,18500
37977.7,4.0013e+08,e,90900,18420
