,time,transfer_history.first_attached_node,transfer_history.last_chunk_id,transfer_history.last_completion_date_string,transfer_history.last_creation_date_string,transfer_history.last_data_type,transfer_history.last_data_type_1,transfer_history.last_direction,transfer_history.last_qbox,transfer_history.last_qguid,transfer_history.last_remote_location_name,transfer_history.last_session,transfer_history.last_state,transfer_history.last_task,transfer_history.last_transfer_direction,transfer_history.last_transfer_type,transfer_history.last_transfer_type_1,transfer_history.mean_actually_transferred_size,transfer_history.mean_cached_data_size,transfer_history.mean_time_transfer_sec,transfer_history.mean_transfer_size
6180,2019-03-14T05:17:20.000Z,QBOX-4000-0000-1000-000000000005,,14/03/2019\ 05:17:14,14/03/2019\ 05:17:11,,,,QBOX-4000-0000-1000-000000000005,SCDL-6b87-d7dd-2645-dfbfa9c67a82,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0617-287f-3d68156b87e7,Down,Docker,,0.0,36532571.0,4.5,33814863.5
6191,2019-03-14T05:19:10.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:19:09,14/03/2019\ 05:19:03,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-31f7-5084-70cf-d1f781dc552f,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0618-9dc4-750ece213ea9,Down,S3,S3,0.0,752717477.1666666,5.0,749093867.1666666
6198,2019-03-14T05:20:20.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:20:16,14/03/2019\ 05:20:13,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-cbe6-d9b7-580f-7abcab081bfc,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0620-333a-27b8f33a3882,Down,Docker,Docker,0.0,36532571.0,4.5,33814863.5
6207,2019-03-14T05:21:50.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:21:46,14/03/2019\ 05:21:41,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-70a2-7f11-40e0-3ab122bd4de2,33574517de06a3434b7e86c4e34a727eaf60fbed4d85b6d2ac586f55cfb4f768,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0621-a118-84b18ee9b941,Down,S3,S3,0.0,881462806.4,3.2,879288462.4
6219,2019-03-14T05:23:50.000Z,QBOX-9000-0000-0000-000000000005,0.0,14/03/2019\ 05:23:50,14/03/2019\ 05:23:47,UserResult,UserResult,Up,QBOX-9000-0000-0000-000000000005,SCUL-210f-aeb6-c378-4d35ea671898,8418eb4264bd53468eabf7f595e3d99d80e6600c79235ed8658811f0663b97a2,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-0621-a118-84b18ee9b941,Up,S3,S3,445.0,0.0,3.0,445.0
6221,2019-03-14T05:24:10.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:24:02,14/03/2019\ 05:24:00,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-f892-72f9-6776-03b0ee1b7afe,33574517de06a3434b7e86c4e34a727eaf60fbed4d85b6d2ac586f55cfb4f768,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-0624-02b2-abd501b92a78,Down,Docker,Docker,0.0,2183358081.5,4.0,2180640374.0
6236,2019-03-14T05:26:40.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:26:37,14/03/2019\ 05:26:35,UserData,UserData,Down,QBOX-9000-0000-0000-000000000005,SCDL-f6ad-405f-2c8b-ec0d035f271a,fb9cecfb45eed643a09ee618bd77e5cfc781ee1829ccd52bd9eccd263298e073,QSES-0314-0624-02b2-abd501b92a78,Completed,QJOB-0314-0624-25d1-cf83d63e7a6d,Down,S3,S3,125.0,1125.0,3.4,125.0
6237,2019-03-14T05:26:50.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:26:49,14/03/2019\ 05:26:47,UserData,UserData,Down,QBOX-9000-0000-0000-000000000005,SCDL-7cfc-5578-f9ff-93c33ced0d32,fb9cecfb45eed643a09ee618bd77e5cfc781ee1829ccd52bd9eccd263298e073,QSES-0314-0624-02b2-abd501b92a78,Completed,QJOB-0314-0624-39a5-13e41a19f287,Down,S3,S3,13.095238095238097,642.8571428571429,2.4285714285714284,13.095238095238097
6240,2019-03-14T05:27:20.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:27:22,14/03/2019\ 05:27:21,UserData,UserData,Down,QBOX-9000-0000-0000-000000000005,SCDL-a969-8209-ff5e-9319e6f3ec67,fb9cecfb45eed643a09ee618bd77e5cfc781ee1829ccd52bd9eccd263298e073,QSES-0314-0624-02b2-abd501b92a78,Completed,QJOB-0314-0624-55d3-5cc346dfde30,Down,S3,S3,10.833333333333336,840.8333333333335,2.7666666666666666,10.833333333333336
6241,2019-03-14T05:27:30.000Z,QBOX-9000-0000-0000-000000000005,0.0,14/03/2019\ 05:27:34,14/03/2019\ 05:27:32,UserResult,UserResult,Up,QBOX-9000-0000-0000-000000000005,SCUL-c70f-dcbc-5498-0b28411d3a59,fb9cecfb45eed643a09ee618bd77e5cfc781ee1829ccd52bd9eccd263298e073,QSES-0314-0624-02b2-abd501b92a78,Completed,QJOB-0314-0624-617f-a06df4921c97,Up,S3,S3,15.277777777777779,666.6666666666666,2.25,15.277777777777779
6242,2019-03-14T05:27:40.000Z,QBOX-9000-0000-0000-000000000005,0.0,14/03/2019\ 05:27:37,14/03/2019\ 05:27:35,UserResult,UserResult,Up,QBOX-9000-0000-0000-000000000005,SCUL-2b88-336c-83a6-e6db7ef92586,fb9cecfb45eed643a09ee618bd77e5cfc781ee1829ccd52bd9eccd263298e073,QSES-0314-0624-02b2-abd501b92a78,Completed,QJOB-0314-0624-640f-58f6defd099d,Up,S3,S3,11.111111111111109,1036.111111111111,2.6666666666666665,11.111111111111109
6248,2019-03-14T05:28:40.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 05:28:34,14/03/2019\ 05:28:31,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-3ba7-a11a-273d-6f8006f1da61,33574517de06a3434b7e86c4e34a727eaf60fbed4d85b6d2ac586f55cfb4f768,00000000-0000-0000-0000-000000000000,Completed,QSES-0308-1711-3969-2c320a984fef,Down,Docker,Docker,0.0,2182190481.5,4.5,2179472774.0
6249,2019-03-14T05:28:50.000Z,QBOX-2000-0000-0000-000000000004,,14/03/2019\ 05:28:46,14/03/2019\ 05:28:43,,,,QBOX-2000-0000-0000-000000000004,SCDL-33b6-4750-ca1e-1dcae039a192,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,Docker,,0.0,48592660.0,4.5,46227208.5
