,time,transfer_history.first_attached_node,transfer_history.last_chunk_id,transfer_history.last_completion_date_string,transfer_history.last_creation_date_string,transfer_history.last_data_type,transfer_history.last_data_type_1,transfer_history.last_direction,transfer_history.last_qbox,transfer_history.last_qguid,transfer_history.last_remote_location_name,transfer_history.last_session,transfer_history.last_state,transfer_history.last_task,transfer_history.last_transfer_direction,transfer_history.last_transfer_type,transfer_history.last_transfer_type_1,transfer_history.mean_actually_transferred_size,transfer_history.mean_cached_data_size,transfer_history.mean_time_transfer_sec,transfer_history.mean_transfer_size
1792,2019-03-14T17:57:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:57:39,14/03/2019\ 17:57:32,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-1880-39bb-7412-389295c1d85f,bc0647bd70ce33c64470a0c5d06d63737a25a0934baa34d846afce140a90224e,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1857-7f2c-8c5f70f362fb,Down,S3,S3,23454928.0,14444107.0,6.0,10999707.666666666
1794,2019-03-14T17:59:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 17:59:10,14/03/2019\ 17:59:08,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-12ad-0649-3aca-d96ae5c062cb,b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1859-20db-4de7fa3efeaf,Down,Docker,Docker,0.0,36541317.0,3.5,33823609.5
1795,2019-03-14T18:00:00.000Z,QBOX-4000-0000-1000-000000000001,-1.0,14/03/2019\ 18:00:44,14/03/2019\ 18:00:38,UserData,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-7a29-d1e0-9aeb-4c5486a474d5,f6bf17438fb7eaf6314445e0345abde4fb53c7169281f10a1dfc0814df1f19e9,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1900-93c3-74244c626520,Down,S3,S3,0.0,25519125.14285714,4.285714285714286,23966085.85714286
1797,2019-03-14T18:02:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 18:02:27,14/03/2019\ 18:02:22,Docker,Docker,Down,QBOX-4000-0000-1000-000000000005,SCDL-5af5-2035-c020-12ac09b5f15b,bc0647bd70ce33c64470a0c5d06d63737a25a0934baa34d846afce140a90224e,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1902-515a-5faa21f0f3f6,Down,QDisk,Docker,1529707.9130434785,48604263.73913044,3.782608695652174,46489088.56521739
1798,2019-03-14T18:03:00.000Z,QBOX-4000-0000-1000-000000000001,,14/03/2019\ 18:03:33,14/03/2019\ 18:03:29,,,,QBOX-4000-0000-1000-000000000001,SCDL-bbd0-b090-88da-276768e53d1c,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1903-6ccc-4e7c6d9c4239,Down,QDisk,,0.0,21645590.33333333,3.0,21645442.0
1799,2019-03-14T18:04:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 18:04:07,14/03/2019\ 18:04:01,Docker,Basesystem,Down,QBOX-9000-0000-0000-000000000005,SCDL-811e-5265-2338-7fd6d471a09c,bc0647bd70ce33c64470a0c5d06d63737a25a0934baa34d846afce140a90224e,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1904-0644-7bf02552178e,Down,S3,S3,0.0,37630100.333333336,6.0,34006490.333333336
1800,2019-03-14T18:05:00.000Z,QBOX-4000-0000-1000-000000000001,-1.0,14/03/2019\ 18:05:40,14/03/2019\ 18:05:33,Docker,Docker,Down,QBOX-4000-0000-1000-000000000005,SCDL-8f3d-3d18-b6bd-df058890c320,5ccbb2182ba05c1f5df4bf9e6fcac5ef8c236293a566f483717a4b0b7b959588,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1905-8213-d6df798df767,Down,QDisk,Docker,1.4166666666666667,204607383.29166663,2.583333333333333,202368437.8333333
1801,2019-03-14T18:06:00.000Z,QBOX-4000-0000-1000-000000000001,,14/03/2019\ 18:06:52,14/03/2019\ 18:06:47,,,,QBOX-4000-0000-1000-000000000001,SCDL-9da1-42fa-1136-f73ca903cd7b,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1906-b48a-e27f9526dfb5,Down,Docker,,0.0,31661359.0,5.0,31661359.0
1802,2019-03-14T18:07:00.000Z,QBOX-9000-0000-0000-000000000005,-1.0,14/03/2019\ 18:07:32,14/03/2019\ 18:07:25,Docker,Docker,Down,QBOX-9000-0000-0000-000000000005,SCDL-e0a1-ce53-3367-c813bd18eee7,bc0647bd70ce33c64470a0c5d06d63737a25a0934baa34d846afce140a90224e,00000000-0000-0000-0000-000000000000,Completed,QSES-0314-1907-60f9-9e89e02df412,Down,S3,Docker,379216.8,21924790.2,4.2,20410597.9
1803,2019-03-14T18:08:00.000Z,QBOX-4000-0000-1000-000000000001,,14/03/2019\ 18:08:25,14/03/2019\ 18:08:22,,,,QBOX-4000-0000-1000-000000000001,SCDL-0447-695f-fe4f-fd9cd1684412,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0314-1908-53c7-3d5d88ab4328,Down,Docker,,0.0,657662944.5,3.0,652984384.5
