time,transfer_history.first_attached_node,transfer_history.last_chunk_id,transfer_history.last_completion_date_string,transfer_history.last_creation_date_string,transfer_history.last_data_type,transfer_history.last_data_type_1,transfer_history.last_direction,transfer_history.last_qbox,transfer_history.last_qguid,transfer_history.last_remote_location_name,transfer_history.last_session,transfer_history.last_state,transfer_history.last_task,transfer_history.last_transfer_direction,transfer_history.last_transfer_type,transfer_history.last_transfer_type_1,transfer_history.mean_actually_transferred_size,transfer_history.mean_cached_data_size,transfer_history.mean_time_transfer_sec,transfer_history.mean_transfer_size
2019-03-13T13:18:00.000Z,QBOX-4000-0000-1000-000000000004,,13/03/2019\ 13:18:27,13/03/2019\ 13:18:21,,,,QBOX-4000-0000-1000-000000000004,SCDL-c228-7198-ed32-202775ba21ed,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0313-1418-4dfd-30d0fa3e93b3,Down,QDisk,,664266.25,2173997364.25,3.75,2172241758
2019-03-13T13:19:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:20:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:21:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:22:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:23:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:24:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:25:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:26:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:27:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:28:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:29:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:30:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:31:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:32:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:33:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:34:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:35:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:36:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:37:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:38:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:39:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:40:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:41:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:42:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:43:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:44:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:45:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:46:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:47:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:48:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:49:00.000Z,QBOX-7000-0000-0000-000000000001,,13/03/2019\ 13:49:20,13/03/2019\ 13:49:10,,,,QBOX-5000-0000-0000-000000000005,SCDL-7b6b-a459-5b98-855f3c5a723e,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0311-1511-e17f-c5587b6c2756,Down,QDisk,,2076.25,4581005969.375,5.375,53829287.125
2019-03-13T13:50:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:51:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:52:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:53:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:54:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 13:54:41,13/03/2019\ 13:54:36,,,,QBOX-6000-0000-0000-000000000004,SCDL-06a2-1c13-52cc-01aee0c1e2cf,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,Docker,,0,48592660,5,46227208.5
2019-03-13T13:55:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:56:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:57:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:58:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T13:59:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:00:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:01:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:02:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:03:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:04:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:05:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:06:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:07:00.000Z,QBOX-6000-0000-0000-000000000005,,13/03/2019\ 14:07:47,13/03/2019\ 14:07:44,,,,QBOX-6000-0000-0000-000000000005,SCDL-302f-7a4d-8c75-845844988ff0,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,Docker,,0,48592660,4.5,46227208.5
2019-03-13T14:08:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:09:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:10:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:11:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:12:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:13:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:14:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:15:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:16:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:17:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:18:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:19:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:20:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:21:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:22:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:23:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:24:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:25:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:26:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:27:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:28:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:29:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:30:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:31:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:32:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:33:00.000Z,QBOX-6000-0000-0000-000000000004,,13/03/2019\ 14:33:24,13/03/2019\ 14:33:19,,,,QBOX-6000-0000-0000-000000000004,SCDL-2e22-2f08-b966-0765a071a6b0,,00000000-0000-0000-0000-000000000000,Completed,QJOB-0307-1124-91be-93edf97c6c2e,Down,Docker,,0,48592660,5,46227208.5
2019-03-13T14:34:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:35:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:36:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:37:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:38:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:39:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:40:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:41:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:42:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:43:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:44:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:45:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:46:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:47:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:48:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:49:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:50:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:51:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:52:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:53:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:54:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:55:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:56:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:57:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:58:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T14:59:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:00:00.000Z,,,,,,,,,,,,,,,,,,,,
2019-03-13T15:01:00.000Z,,,,,,,,,,,,,,,,,,,,
