,actually_transferred_size,direction,id,node,profile,res,size,subtime,time_taken,type,job_id,workload_name,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata,ratio_minus_1
1318,414770.0,Up,1318,QBOX-4000-0000-1000-000000000002,1318_profile,1,306288.0,52029.0,49.0,S3,1318,ec5494,52029.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52029.000060000006,0.013318,52029.013377999996,5.9999999999999995e-05,0.013378,1.004506,1692 1707,0.0,,3678.231115783151
1319,414770.0,Up,1319,QBOX-4000-0000-1000-000000000002,1319_profile,1,306288.0,52033.0,49.0,S3,1319,ec5494,52033.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52033.000045,0.013318,52033.013363,4.5e-05,0.013363,1.003379,1692 1707,0.0,,3678.231115783151
1320,414770.0,Up,1320,QBOX-4000-0000-1000-000000000002,1320_profile,1,306288.0,52033.0,49.0,S3,1320,ec5494,52033.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52033.000060000006,0.013318,52033.013377999996,5.9999999999999995e-05,0.013378,1.004506,1692 1707,0.0,,3678.231115783151
1321,414770.0,Up,1321,QBOX-4000-0000-1000-000000000002,1321_profile,1,306288.0,52035.0,47.0,S3,1321,ec5494,52035.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52035.000045,0.013318,52035.013363,4.5e-05,0.013363,1.003379,1692 1707,0.0,,3528.058417179757
1322,414770.0,Up,1322,QBOX-2000-0000-0000-000000000001,1322_profile,1,306288.0,52071.0,5.0,S3,1322,ec5494,52071.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52071.000060000006,0.026591000000000004,52071.026651,5.9999999999999995e-05,0.026650999999999998,1.002257,1687 1707,0.0,,187.03354518446088
1323,414770.0,Up,1323,QBOX-5000-0000-0000-000000000005,1323_profile,1,306288.0,52068.0,8.0,S3,1323,ec5494,52068.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52068.000045,0.026591000000000004,52068.026636,4.5e-05,0.026636,1.001693,1698 1707,0.0,,299.8536722951374
1324,414770.0,Up,1324,QBOX-5000-0000-0000-000000000005,1324_profile,1,306288.0,52071.0,8.0,S3,1324,ec5494,52071.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52071.000075,0.026591000000000004,52071.026666000005,7.5e-05,0.026666000000000002,1.002821,1698 1707,0.0,,299.8536722951374
1325,414770.0,Up,1325,QBOX-5000-0000-0000-000000000005,1325_profile,1,306288.0,52072.0,10.0,S3,1325,ec5494,52072.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52072.000045,0.026591000000000004,52072.026636,4.5e-05,0.026636,1.001693,1698 1707,0.0,,375.06709036892175
1326,414770.0,Up,1326,QBOX-5000-0000-0000-000000000005,1326_profile,1,306288.0,52080.0,5.0,S3,1326,ec5494,52080.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52080.000045,0.026591000000000004,52080.026636,4.5e-05,0.026636,1.001693,1698 1707,0.0,,187.03354518446088
1327,414770.0,Up,1327,QBOX-4000-0000-1000-000000000005,1327_profile,1,306288.0,52073.0,6.0,S3,1327,ec5494,52073.0,1,-1.0,1,COMPLETED_SUCCESSFULLY,52073.000045,0.013318,52073.013363,4.5e-05,0.013363,1.003379,1695 1707,0.0,,449.5180958101817
