time,qchunk_state.completion_date_string,qchunk_state.cpu_average_ghz,qchunk_state.cpu_model,qchunk_state.creation_date_string,qchunk_state.failed_range,qchunk_state.initial_range,qchunk_state.name,qchunk_state.name_1,qchunk_state.owner_qarnot_id,qchunk_state.priority,qchunk_state.processed_range,qchunk_state.q_mobo,qchunk_state.qguid,qchunk_state.resources_download_batches,qchunk_state.scaling_cpu_average_ghz,qchunk_state.scaling_time_compute_ghz,qchunk_state.serializer_session,qchunk_state.state,qchunk_state.state_1,qchunk_state.time_compute,qchunk_state.time_compute_ghz,qchunk_state.time_download,qchunk_state.time_environment,qchunk_state.time_upload
2019-05-06T04:30:00.000Z,06/05/2019\ 04:33:00,0,AMD\ Ryzen\ 7\ 2700X\ Eight-Core\ Processor,06/05/2019\ 04:29:42,,[0-1],docker.base.config>docker.base>docker-batch>sample15_bulks_submit_1,docker.base.config>docker.base>docker-batch>sample15_bulks_submit_1,<Unknown>,-5,[0-1],MOBO-adf0-084e-ac12-00d8611575c2,QJOB-0506-0629-9f10-34b6d6078fd5,"SCDL-6a0a-5bb0-56ee-febe5db8389a\,SCDL-9535-9353-4d36-b6cc082c6194",0,0,00000000-0000-0000-0000-000000000000,Completed,Completed,10,0,1290,690,10
2019-05-06T04:35:00.000Z,,0,,06/05/2019\ 04:37:34,,[8-9],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-87af-309c23a78199,QJOB-0506-0637-7c43-f00fbb822b7b,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T04:40:00.000Z,06/05/2019\ 04:40:45,0,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 04:37:34,[8-9],[8-9],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-87af-309c23a78199,QJOB-0506-0637-7c43-f00fbb822b7b,"SCDL-1027-0faf-241e-af29db26568a\,SCDL-58b4-3fb2-e10e-e1da08feeaff\,SCDL-8780-e8f8-f1b8-e6cc8ef1593c",0,2463.58911132813,00000000-0000-0000-0000-000000000000,Failed,Failed,810,2578.15112304688,100,980,10
2019-05-06T04:45:00.000Z,06/05/2019\ 04:49:38,0,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 04:43:02,,[0-1],docker.base.config>docker.base>docker-kvm>win2016-core-kvm>sample17_win2016-core-kvm-dotnet-task-with-result,docker.base.config>docker.base>docker-kvm>win2016-core-kvm>sample17_win2016-core-kvm-dotnet-task-with-result,X6105LV,-5,[0-1],MOBO-58d8-00d7-87b8-309c23a7824b,QJOB-0506-0643-06db-6fd0fbc6c06e,"SCDL-c046-9756-9165-63933135beaa\,SCDL-53a4-c432-d347-f7b8f883f0e7\,SCDL-7e29-667a-ece7-35c66bcf62d2",0,72.7212524414063,00000000-0000-0000-0000-000000000000,Completed,Completed,30,72.4230499267578,1900,1980,30
2019-05-06T04:50:00.000Z,,0,,06/05/2019\ 04:53:01,,[11-12],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-8b69-309c23a7826f,QJOB-0506-0652-77a1-d2c3ed3d8bcb,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T04:55:00.000Z,06/05/2019\ 04:55:52,0,,06/05/2019\ 04:53:01,,[11-12],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-8b69-309c23a7826f,QJOB-0506-0652-77a1-d2c3ed3d8bcb,"SCDL-c515-afe0-1972-bf3f45ae2129\,SCDL-13ac-ce36-42a4-2a8481473ef8\,SCDL-4456-d0fa-b273-b7a2e25e5832",0,0,00000000-0000-0000-0000-000000000000,Preempted,Preempted,0,0,1230,460,0
2019-05-06T05:00:00.000Z,,0,,06/05/2019\ 05:01:40,,[0-1],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-8b69-309c23a7826f,QJOB-0425-1504-9b73-148267a8fd96,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T05:05:00.000Z,06/05/2019\ 05:07:55,3.6660578250885,AMD\ Ryzen\ 7\ 2700X\ Eight-Core\ Processor,06/05/2019\ 05:01:38,,[15-16],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-adf0-084e-abed-00d861156b47,QJOB-0506-0652-77a1-d2c3ed3d8bcb,"SCDL-a18b-29f0-8f50-91640f5099ab\,SCDL-ff59-3f3b-6709-df273058218c\,SCDL-e226-f503-bb2e-57095b7351b0",3.83902668952942,8253.9072265625,00000000-0000-0000-0000-000000000000,Preempted,Preempted,2150,7882.0244140625,790,780,0
2019-05-06T05:10:00.000Z,,0,,06/05/2019\ 05:12:42,,[0-1],docker.base.config>docker.base>docker-network-ssh>amplisim>calmet_www.amplisim.com_34_303,docker.base.config>docker.base>docker-network-ssh>amplisim>calmet_www.amplisim.com_34_303,<Unknown>,1,,MOBO-adf0-094e-09e2-00d8611556aa,QJOB-0506-0712-a011-eae940df8595,,0,0,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T05:15:00.000Z,06/05/2019\ 05:18:33,0,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 05:13:15,,[0-1],docker.base.config>docker.base>docker-kvm>win2016-core-kvm-network>sample19-kvm-win-http,docker.base.config>docker.base>docker-kvm>win2016-core-kvm-network>sample19-kvm-win-http,<Unknown>,-5,[0-1],MOBO-58d8-00d7-87b8-309c23a7824b,QJOB-0506-0713-3380-435bc8e6980b,"SCDL-1b5b-fb63-af9d-eaf9dac75bd1\,SCDL-36c4-05eb-8cf6-c39eea9041e1",0,0,00000000-0000-0000-0000-000000000000,Completed,Completed,30,0,1280,1840,20
