time,qchunk_state.completion_date_string,qchunk_state.computed_range,qchunk_state.cpu_average_ghz,qchunk_state.cpu_model,qchunk_state.creation_date_string,qchunk_state.failed_range,qchunk_state.initial_range,qchunk_state.name,qchunk_state.name_1,qchunk_state.owner_qarnot_id,qchunk_state.priority,qchunk_state.processed_range,qchunk_state.q_mobo,qchunk_state.qguid,qchunk_state.resources_download_batches,qchunk_state.scaling_cpu_average_ghz,qchunk_state.scaling_time_compute_ghz,qchunk_state.serializer_q_mobo,qchunk_state.serializer_sampling_time,qchunk_state.serializer_session,qchunk_state.state,qchunk_state.state_1,qchunk_state.time_compute,qchunk_state.time_compute_ghz,qchunk_state.time_download,qchunk_state.time_environment,qchunk_state.time_upload
2019-05-06T07:19:13.809Z,,,0,,06/05/2019\ 07:19:05,,[129-130],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9ea3-cbf5-94de80a6ad19,QJOB-0425-1504-9b73-148267a8fd96,,0,0,4f424f4d-0400-9ea3-cbf5-94de80a6ad19,2019-05-06T07:19:05.6546130Z,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T07:21:20.451Z,06/05/2019\ 07:21:16,[0-1],0,AMD\ Ryzen\ 7\ 2700X\ Eight-Core\ Processor,06/05/2019\ 07:13:31,,[0-1],docker.base.config>docker.base>docker-network-ssh>amplisim>calmet_www.amplisim.com_34_303,docker.base.config>docker.base>docker-network-ssh>amplisim>calmet_www.amplisim.com_34_303,<Unknown>,1,[0-1],MOBO-adf0-094e-09e2-00d8611556aa,QJOB-0506-0913-75e3-ca1ae5b521c9,"SCDL-f77a-20e1-e81f-d2837151073b\,SCDL-f5b3-6549-2650-6f548a5ec1dd\,SCDL-dd1d-9d36-9c33-9f23b4eb57b8",0,8325.9599609375,4f424f4d-adf0-094e-09e2-00d8611556aa,2019-05-06T07:21:16.8412710Z,00000000-0000-0000-0000-000000000000,Completed,Completed,2210,8063.73583984375,1240,710,480
2019-05-06T07:22:02.072Z,,,0,,06/05/2019\ 07:21:58,,[137-138],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-58d8-00d7-8992-309c2384599b,QJOB-0425-1504-9b73-148267a8fd96,,0,0,4f424f4d-58d8-00d7-8992-309c2384599b,2019-05-06T07:21:58.9991050Z,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T07:25:59.854Z,,,0,,06/05/2019\ 07:25:59,,[168-169],docker.base.config>docker.base>docker-mining>money\ money\ money\ prod,docker.base.config>docker.base>docker-mining>money money money prod,_coin_miner,-15,,MOBO-0400-9ea3-b45c-94de80a6a950,QJOB-0425-1504-9b73-148267a8fd96,,0,0,4f424f4d-0400-9ea3-b45c-94de80a6a950,2019-05-06T07:25:59.2538500Z,00000000-0000-0000-0000-000000000000,Starting,Starting,0,0,0,0,0
2019-05-06T07:30:29.099Z,06/05/2019\ 07:30:27,,3.39979457855225,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 05:27:56,,[11-12],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-8815-309c23a78307,QJOB-0506-0723-49ee-1afad9489754,"SCDL-81f5-4641-a5d5-4d4ed62e7966\,SCDL-1dac-19c1-7ff6-a3fb4edec8a6\,SCDL-7b8d-947e-0466-2ec4cd2139f9",3.41265869140625,246598.71875,4f424f4d-58d8-00d7-8815-309c23a78307,2019-05-06T07:30:27.1144330Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,72260,245669.15625,10,1250,0
2019-05-06T07:30:29.100Z,06/05/2019\ 07:30:27,,3.39858460426331,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 05:27:56,,[0-1],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-87d3-309c23a782d1,QJOB-0506-0723-49ee-1afad9489754,"SCDL-81f5-4641-a5d5-4d4ed62e7966\,SCDL-1dac-19c1-7ff6-a3fb4edec8a6\,SCDL-7b8d-947e-0466-2ec4cd2139f9",3.07234621047974,222622.203125,4f424f4d-58d8-00d7-87d3-309c23a782d1,2019-05-06T07:30:27.2442420Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,72460,246261.4375,10,1050,0
2019-05-06T07:30:29.101Z,06/05/2019\ 07:30:27,,3.39772891998291,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 05:27:56,,[1-2],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-890b-309c23a78115,QJOB-0506-0723-49ee-1afad9489754,"SCDL-81f5-4641-a5d5-4d4ed62e7966\,SCDL-1dac-19c1-7ff6-a3fb4edec8a6\,SCDL-7b8d-947e-0466-2ec4cd2139f9",3.39940810203552,246559.0625,4f424f4d-58d8-00d7-890b-309c23a78115,2019-05-06T07:30:27.3864300Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,72530,246437.28125,10,980,0
2019-05-06T07:30:29.102Z,06/05/2019\ 07:30:27,,3.39986610412598,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 05:27:56,,[2-3],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-8b45-309c23845831,QJOB-0506-0723-49ee-1afad9489754,"SCDL-81f5-4641-a5d5-4d4ed62e7966\,SCDL-1dac-19c1-7ff6-a3fb4edec8a6\,SCDL-7b8d-947e-0466-2ec4cd2139f9",3.39104247093201,245782.765625,4f424f4d-58d8-00d7-8b45-309c23845831,2019-05-06T07:30:27.5283270Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,72480,246422.296875,10,1030,0
2019-05-06T07:30:29.103Z,06/05/2019\ 07:30:27,,3.39905905723572,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 05:27:56,,[3-4],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-89b0-309c23a785ee,QJOB-0506-0723-49ee-1afad9489754,"SCDL-81f5-4641-a5d5-4d4ed62e7966\,SCDL-1dac-19c1-7ff6-a3fb4edec8a6\,SCDL-7b8d-947e-0466-2ec4cd2139f9",3.4069128036499,246387.9375,4f424f4d-58d8-00d7-89b0-309c23a785ee,2019-05-06T07:30:27.6684420Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,72320,245819.953125,10,1190,0
2019-05-06T07:30:29.104Z,06/05/2019\ 07:30:28,,3.3976194858551,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 05:27:56,,[5-6],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-8ae2-309c23a781b1,QJOB-0506-0723-49ee-1afad9489754,"SCDL-81f5-4641-a5d5-4d4ed62e7966\,SCDL-1dac-19c1-7ff6-a3fb4edec8a6\,SCDL-7b8d-947e-0466-2ec4cd2139f9",3.27109885215759,237220.09375,4f424f4d-58d8-00d7-8ae2-309c23a781b1,2019-05-06T07:30:28.1495500Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,72520,246395.359375,10,990,0
2019-05-06T07:30:29.105Z,06/05/2019\ 07:30:28,,3.39778065681458,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 05:27:56,,[9-10],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-a3c3-309c23a7828b,QJOB-0506-0723-49ee-1afad9489754,"SCDL-81f5-4641-a5d5-4d4ed62e7966\,SCDL-1dac-19c1-7ff6-a3fb4edec8a6\,SCDL-7b8d-947e-0466-2ec4cd2139f9",3.31111288070679,240155.015625,4f424f4d-58d8-00d7-a3c3-309c23a7828b,2019-05-06T07:30:28.3228190Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,72530,246441.03125,10,980,0
2019-05-06T07:30:29.106Z,06/05/2019\ 07:30:28,,3.39983129501343,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 05:27:56,,[6-7],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-8be1-309c23a7818b,QJOB-0506-0723-49ee-1afad9489754,"SCDL-81f5-4641-a5d5-4d4ed62e7966\,SCDL-1dac-19c1-7ff6-a3fb4edec8a6\,SCDL-7b8d-947e-0466-2ec4cd2139f9",3.4281439781189,248471.875,4f424f4d-58d8-00d7-8be1-309c23a7818b,2019-05-06T07:30:28.5869680Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,72480,246419.765625,10,1020,0
2019-05-06T07:30:39.069Z,06/05/2019\ 07:30:28,,3.39917373657227,AMD\ Ryzen\ 7\ 1700X\ Eight-Core\ Processor,06/05/2019\ 05:27:56,,[8-9],docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,docker.base.config>docker.base>gprime-v2-8c>gprime|PMCL-160-154001-MN-Q2-g|na|60013,<Unknown>,10,,MOBO-58d8-00d7-87fa-309c23845894,QJOB-0506-0723-49ee-1afad9489754,"SCDL-81f5-4641-a5d5-4d4ed62e7966\,SCDL-1dac-19c1-7ff6-a3fb4edec8a6\,SCDL-7b8d-947e-0466-2ec4cd2139f9",3.38477468490601,245463.859375,4f424f4d-58d8-00d7-87fa-309c23845894,2019-05-06T07:30:28.8963280Z,00000000-0000-0000-0000-000000000000,Preempted,Preempted,72520,246508.078125,10,980,0
